environment_biome	environment_biome_hl	environment_biome_hl2
brackish water body, ENVO:01001340	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001341	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001342	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001343	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001345	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001346	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001347	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001348	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001349	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001350	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001351	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001352	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001353	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001355	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001356	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001357	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001358	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001359	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001360	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001361	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001362	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001363	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001364	marine_and_terrestrial	other_terrestrial_water
ocean biome  [ENVO:01000048]	marine	unclassified
deep marine sediment [ENVO:00002113]	marine	unclassified
Pond	terrestrial	unclassified
stream bed	terrestrial	freshwater
wheat root	terrestrial	land
Shrimp aquaculture farm	marine	unclassified
colon biopsy	unclassified	unclassified
Plant rhizosphere and soil	terrestrial_probable	land
thallus of a brown alga	unclassified	unclassified
blade of a brown alga	unclassified	unclassified
synthetic bacterial community of 32 strains	unclassified	unclassified
Shrimp aquaculture	marine	unclassified
anaerobic digestion	unclassified	unclassified
stream biofilm	terrestrial	freshwater
Industrial cooling water	unclassified	other_terrestrial_water
plateau	unclassified	unclassified
banana waste	unclassified	unclassified
ENVO_00000446	unclassified	unclassified
Arctic soil	terrestrial_probable	land
Experimental Chamber	unclassified	unclassified
Hydrogen production from coffee waste (pulp, husk, and manufacturing wastewater)	terrestrial	other_terrestrial_water
coastal water body [ENVO:02000049]	marine_and_terrestrial	other_terrestrial_water
ENVO:01000407	unclassified	unclassified
unvegetated	unclassified	unclassified
temperate marginal sea biome	marine	unclassified
infiltration basin	unclassified	unclassified
Coniferous forest and Temperate Deciduous Forest	terrestrial	land
anaerobic digestor	unclassified	unclassified
Industrial sugarcane fermenter	terrestrial	land
Murine gut	terrestrial_probable	unclassified
Parachondrostoma_toxostoma	unclassified	unclassified
specimen collection process	unclassified	unclassified
lake biome	terrestrial	freshwater
detention basin	unclassified	unclassified
urban catchment	terrestrial	land
saltmarsh	terrestrial	land
chromium mining site in mountainous terrain	unclassified	unclassified
Laboratory population	terrestrial_probable	unclassified
Marine sediment and plant was from Marshes area as described in the sample description	marine	unclassified
cultivated crops	terrestrial	land
FOODON_03420148	unclassified	unclassified
oil spill	unclassified	unclassified
Arctic	unclassified	unclassified
Meat processing building	unclassified	unclassified
Meat processing abattoir	unclassified	unclassified
Plateau	unclassified	unclassified
Ant	unclassified	unclassified
waste water treatment plant	unclassified	other_terrestrial_water
coastal inlet	marine_and_terrestrial	unclassified
marine subtidal rocky reef biome��_��_	marine	unclassified
sandy beach	marine_and_terrestrial	unclassified
large river delta biome	terrestrial	freshwater
eutrophic lake	terrestrial	freshwater
Pantanal - Wet Savannah	terrestrial	unclassified
terristrial	unclassified	unclassified
Breast Milk	unclassified	unclassified
Vaginal Swab	terrestrial_probable	land
Mouse Gut	terrestrial_probable	unclassified
pier	unclassified	unclassified
marine subtidal rocky reef biome	marine	unclassified
lake sediments	terrestrial	freshwater
TERRESTRIAL	terrestrial	unclassified
Anther	unclassified	unclassified
ENVO:01000339	unclassified	unclassified
Vaginal microbiome	terrestrial_probable	land
fermenter	terrestrial	land
pigs	terrestrial	land
http://purl.obolibrary.org/obo/ENVO_01000883	unclassified	unclassified
Biogas reactor	terrestrial_probable	land
metagenome	unclassified	unclassified
heathland	terrestrial_probable	land
sourdough	unclassified	unclassified
flour	unclassified	unclassified
dust	unclassified	unclassified
Foam	unclassified	unclassified
SML	unclassified	unclassified
ULW	unclassified	unclassified
45 °C	unclassified	unclassified
XX	unclassified	unclassified
ME	unclassified	unclassified
DX	unclassified	unclassified
CB	unclassified	unclassified
BCW	unclassified	unclassified
GD	unclassified	unclassified
HS	unclassified	unclassified
SHB	unclassified	unclassified
WYZ	unclassified	unclassified
AS	unclassified	unclassified
JF	unclassified	unclassified
QF	unclassified	unclassified
SYK	unclassified	unclassified
QL	unclassified	unclassified
AL	unclassified	unclassified
FJS	unclassified	unclassified
LG	unclassified	unclassified
LJ	unclassified	unclassified
DH	unclassified	unclassified
NL	unclassified	unclassified
SN	unclassified	unclassified
SWDS	unclassified	unclassified
WZS	unclassified	unclassified
DYS	unclassified	unclassified
JGS	unclassified	unclassified
TM	unclassified	unclassified
WGS	unclassified	unclassified
MFC reactor	terrestrial_probable	land
marine subtidal rocky reef biome (ENVO:01000050)	marine	unclassified
Paramo	terrestrial	unclassified
temperate broadleaf forest biome	terrestrial	land
aquatic intertidal zone	marine_and_terrestrial	unclassified
saline water aquarium	unclassified	other_terrestrial_water
fresh water aquarium	terrestrial	freshwater
laboratory environment�	terrestrial_probable	land
Arabidopsis thaliana WT ecotype Columbia-0 plants were used in this study	unclassified	unclassified
Equine Gut	unclassified	unclassified
neritic epipelagic zone biom [ENVO:01000032]	marine	unclassified
oceanic bathypelagic zone biome [ENVO:01000037]	marine	unclassified
oceanic mesopelagic zone biome [ENVO:01000036]	marine	unclassified
marine bathyal zone biome [ENVO:01000026]	marine	unclassified
non	unclassified	unclassified
sulfur spring	unclassified	unclassified
bathtub fixture	unclassified	unclassified
animal-assocaited habitat	unclassified	unclassified
pcr-negative	unclassified	unclassified
Insect extract	unclassified	unclassified
Sewage waters	unclassified	other_terrestrial_water
Runoff water extracts	unclassified	other_terrestrial_water
Runoff water extract	unclassified	other_terrestrial_water
Sewage water extract	unclassified	other_terrestrial_water
Bedrock	unclassified	unclassified
bedrock	unclassified	unclassified
agricultural biome	terrestrial	land
skin of body	unclassified	unclassified
ENVO_00000038	unclassified	unclassified
peat	terrestrial	land
shallow marine benthic biom	marine	unclassified
Temperate plain	terrestrial	land
reactor	terrestrial_probable	land
ENVO:00000033	unclassified	unclassified
alpine	unclassified	unclassified
human milk (raw)	terrestrial_probable	land
Beef abattoir	terrestrial	unclassified
ENVO_01000891	unclassified	unclassified
Cloud water	unclassified	other_terrestrial_water
Rain	unclassified	unclassified
Lake water	terrestrial	freshwater
ENVO:00001998;  ENVO:01000349	unclassified	unclassified
ENVO:01000349	unclassified	unclassified
PO:0009005	unclassified	unclassified
human digestive tract	terrestrial_probable	land
Grass land	terrestrial_probable	land
subsurface	unclassified	unclassified
bacteriome	unclassified	unclassified
Artificial	unclassified	unclassified
Semi-humid evergreen broadleaved forest	terrestrial	land
ENVO:00000469	unclassified	unclassified
NCBITaxon:7038	unclassified	unclassified
human habitat	terrestrial_probable	land
farmland soil	terrestrial	land
ENVO:01001033	unclassified	unclassified
ocean-coast	marine_and_terrestrial	unclassified
farmlan soil	terrestrial_probable	land
PhytOakmeter root-free zone	terrestrial	unclassified
PhyToakmeter root root zone	terrestrial	land
PhytOakmeter root root zone	terrestrial	unclassified
shallow coastal semi-enclosed bay	marine_and_terrestrial	unclassified
microcontinental island ENVO_1000749	terrestrial	land
single-tree tundra	terrestrial	land
coastal sea water, ENVO:00002150	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002151	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002152	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002153	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002154	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002155	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002156	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002157	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002158	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002159	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002160	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002161	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002164	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002165	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002166	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002167	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002168	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002169	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002170	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002171	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002172	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002173	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002174	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002175	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002176	marine_and_terrestrial	unclassified
coastal sea water, ENVO:00002177	marine_and_terrestrial	unclassified
built-in air-conditioner	unclassified	unclassified
hospital surface, water, air	unclassified	other_terrestrial_water
Contaminated saline solutions	unclassified	unclassified
cold and high altitude stream	unclassified	other_terrestrial_water
workbench control	unclassified	unclassified
blank sample	unclassified	unclassified
human control	terrestrial_probable	land
anthropised terrestrial environmental zone	terrestrial	land
mock	unclassified	unclassified
negative extraction	unclassified	unclassified
Marine fish tank	marine	unclassified
Mock	unclassified	unclassified
Faecal	unclassified	unclassified
tropical fruits	unclassified	unclassified
ENVO_03000043	unclassified	unclassified
ENVO_03000044	unclassified	unclassified
ENVO_03000045	unclassified	unclassified
ENVO_03000046	unclassified	unclassified
ENVO_03000047	unclassified	unclassified
ENVO_03000048	unclassified	unclassified
ENVO_03000049	unclassified	unclassified
ENVO_03000050	unclassified	unclassified
ENVO_03000051	unclassified	unclassified
ENVO_03000052	unclassified	unclassified
ENVO_03000053	unclassified	unclassified
ENVO_03000054	unclassified	unclassified
ENVO_03000055	unclassified	unclassified
ENVO_03000056	unclassified	unclassified
